You enter: 3
Random number 1: 12398
Random number 2: -23301
Random number 3: 46003
********************
You enter: 9
Random number 1: 36339
Random number 2: -31778
Random number 3: -62623
Random number 4: 57967
Random number 5: -34109
Random number 6: 70160
Random number 7: -60058
Random number 8: 32433
Random number 9: 53484
********************
You enter: 100
Random number 1: -4727
Random number 2: 35184
Random number 3: 86848
Random number 4: -12774
Random number 5: 59909
Random number 6: -7254
Random number 7: 13280
Random number 8: -10477
Random number 9: 87248
Random number 10: -51336
Random number 11: 81913
Random number 12: -88570
Random number 13: 21083
Random number 14: -61608
Random number 15: 85933
Random number 16: 4353
Random number 17: 14155
Random number 18: -50200
Random number 19: 43321
Random number 20: -6111
Random number 21: 42719
Random number 22: -25729
Random number 23: -22770
Random number 24: 9196
Random number 25: 97964
Random number 26: 86769
Random number 27: -72584
Random number 28: -53405
Random number 29: 46743
Random number 30: 64561
Random number 31: 29545
Random number 32: 86533
Random number 33: -30491
Random number 34: 59586
Random number 35: 90030
Random number 36: 42576
Random number 37: -88793
Random number 38: -78603
Random number 39: -27939
Random number 40: 59617
Random number 41: -25796
Random number 42: -61627
Random number 43: 15246
Random number 44: -47151
Random number 45: 38576
Random number 46: 15207
Random number 47: -9201
Random number 48: 89617
Random number 49: 69724
Random number 50: 21803
Random number 51: -29617
Random number 52: 33785
Random number 53: -8764
Random number 54: 42391
Random number 55: 46123
Random number 56: -78999
Random number 57: -42047
Random number 58: -22349
Random number 59: -10738
Random number 60: 73139
Random number 61: -34670
Random number 62: -33315
Random number 63: 42779
Random number 64: -77313
Random number 65: 19118
Random number 66: 95379
Random number 67: 41920
Random number 68: 61497
Random number 69: -51638
Random number 70: -56643
Random number 71: -6855
Random number 72: -7243
Random number 73: 77739
Random number 74: 83704
Random number 75: -80315
Random number 76: 4346
Random number 77: 59025
Random number 78: -75619
Random number 79: 70620
Random number 80: -17244
Random number 81: -4031
Random number 82: -62201
Random number 83: -23130
Random number 84: -75060
Random number 85: -5822
Random number 86: 95760
Random number 87: -4703
Random number 88: 27117
Random number 89: -86538
Random number 90: 69028
Random number 91: -15378
Random number 92: 33556
Random number 93: 32135
Random number 94: -1079
Random number 95: -5713
Random number 96: -92482
Random number 97: -4406
Random number 98: -7442
Random number 99: 33730
Random number 100: 43196
********************
You enter: 5
Random number 1: 45487
Random number 2: -95499
Random number 3: -29654
Random number 4: -92050
Random number 5: 43634
********************
