You enter number: 50
Random number 1: 1545
Random number 2: -3283
Random number 3: -2860
Random number 4: -3237
Random number 5: -4949
Random number 6: -2764
Random number 7: -1768
Random number 8: 3219
Random number 9: -2682
Random number 10: 4751
Random number 11: 2440
Random number 12: 4913
Random number 13: -4275
Random number 14: -754
Random number 15: 1259
Random number 16: 686
Random number 17: -3846
Random number 18: 1738
Random number 19: -4521
Random number 20: 4745
Random number 21: 2664
Random number 22: 1102
Random number 23: -2381
Random number 24: -2245
Random number 25: 3120
Random number 26: 1994
Random number 27: -658
Random number 28: -177
Random number 29: -167
Random number 30: -4453
Random number 31: 695
Random number 32: 1619
Random number 33: -1599
Random number 34: 4900
Random number 35: -4905
Random number 36: 1758
Random number 37: 3013
Random number 38: -4093
Random number 39: 1400
Random number 40: 3741
Random number 41: 432
Random number 42: 4894
Random number 43: 2810
Random number 44: 551
Random number 45: -4774
Random number 46: -3966
Random number 47: -3033
Random number 48: -779
Random number 49: 3752
Random number 50: 2421
